V,R,recovered_ATE,original_ATE,error_pct,parse_time,prep_time,model_time,relative_time,user_interactions,mean_irrelevant_cands
10,1,2.00,2.00,0.10,72.33,4.26,2.40,N/A,9,0
10,5,2.11,2.00,10.62,80.04,5.27,2.98,N/A,9,0
10,10,1.97,2.00,2.65,79.69,4.70,3.09,N/A,9,0
100,1,1.96,2.00,4.32,145.67,33.24,3.59,N/A,9,0
100,5,1.60,2.00,40.21,144.14,33.87,3.87,N/A,9,0
100,10,0.87,2.00,112.85,144.67,33.79,3.97,N/A,9,0
1000,1,1.78,2.00,21.94,853.14,326.83,8.38,N/A,9,0
1000,5,0.62,2.00,138.05,822.43,334.47,8.91,N/A,9,0
1000,10,0.12,2.00,188.06,849.08,335.59,15.09,N/A,9,0

